Unnamed: 0,Symbol,Company Name,Sector,Country,yf_ticker
0,360ONE,360 ONE WAM Ltd.,Financial Services,IND,360ONE.NS
1,3MINDIA,3M India Ltd.,Diversified,IND,3MINDIA.NS
2,ABB,ABB India Ltd.,Capital Goods,IND,ABB.NS
3,ACC,ACC Ltd.,Construction Materials,IND,ACC.NS
4,ACMESOLAR,ACME Solar Holdings Ltd.,Power,IND,ACMESOLAR.NS
5,AIAENG,AIA Engineering Ltd.,Capital Goods,IND,AIAENG.NS
6,APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,IND,APLAPOLLO.NS
7,AUBANK,AU Small Finance Bank Ltd.,Financial Services,IND,AUBANK.NS
8,AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,IND,AWL.NS
9,AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,IND,AADHARHFC.NS
10,AARTIIND,Aarti Industries Ltd.,Chemicals,IND,AARTIIND.NS
11,AAVAS,Aavas Financiers Ltd.,Financial Services,IND,AAVAS.NS
12,ABBOTINDIA,Abbott India Ltd.,Healthcare,IND,ABBOTINDIA.NS
13,ACE,Action Construction Equipment Ltd.,Capital Goods,IND,ACE.NS
14,ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,IND,ACUTAAS.NS
15,ADANIENSOL,Adani Energy Solutions Ltd.,Power,IND,ADANIENSOL.NS
16,ADANIENT,Adani Enterprises Ltd.,Metals & Mining,IND,ADANIENT.NS
17,ADANIGREEN,Adani Green Energy Ltd.,Power,IND,ADANIGREEN.NS
18,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,IND,ADANIPORTS.NS
19,ADANIPOWER,Adani Power Ltd.,Power,IND,ADANIPOWER.NS
20,ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,IND,ATGL.NS
21,ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,IND,ABCAPITAL.NS
22,ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services,IND,ABFRL.NS
23,ABLBL,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,IND,ABLBL.NS
24,ABREL,Aditya Birla Real Estate Ltd.,Realty,IND,ABREL.NS
25,ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,IND,ABSLAMC.NS
26,CPPLUS,Aditya Infotech Ltd.,Capital Goods,IND,CPPLUS.NS
27,AEGISLOG,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,IND,AEGISLOG.NS
28,AEGISVOPAK,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,IND,AEGISVOPAK.NS
29,AFCONS,Afcons Infrastructure Ltd.,Construction,IND,AFCONS.NS
30,AFFLE,Affle 3i Ltd.,Information Technology,IND,AFFLE.NS
31,AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,IND,AJANTPHARM.NS
32,ALKEM,Alkem Laboratories Ltd.,Healthcare,IND,ALKEM.NS
33,ABDL,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,IND,ABDL.NS
34,ARE&M,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,IND,ARE&M.NS
35,AMBER,Amber Enterprises India Ltd.,Consumer Durables,IND,AMBER.NS
36,AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,IND,AMBUJACEM.NS
37,ANANDRATHI,Anand Rathi Wealth Ltd.,Financial Services,IND,ANANDRATHI.NS
38,ANANTRAJ,Anant Raj Ltd.,Realty,IND,ANANTRAJ.NS
