Company,ticker,yf_ticker
360 ONE WAM LIMITED,360ONE,360ONE.NS
ABB India Limited,ABB,ABB.NS
APL Apollo Tubes Limited,APLAPOLLO,APLAPOLLO.NS
AU Small Finance Bank Limited,AUBANK,AUBANK.NS
Adani Energy Solutions Limited,ADANIENSOL,ADANIENSOL.NS
Adani Enterprises Limited,ADANIENT,ADANIENT.NS
Adani Green Energy Limited,ADANIGREEN,ADANIGREEN.NS
Adani Ports and Special Economic Zone Limited,ADANIPORTS,ADANIPORTS.NS
Adani Power Limited,ADANIPOWER,ADANIPOWER.NS
Aditya Birla Capital Limited,ABCAPITAL,ABCAPITAL.NS
Alkem Laboratories Limited,ALKEM,ALKEM.NS
Amber Enterprises India Limited,AMBER,AMBER.NS
Ambuja Cements Limited,AMBUJACEM,AMBUJACEM.NS
Angel One Limited,ANGELONE,ANGELONE.NS
Apollo Hospitals Enterprise Limited,APOLLOHOSP,APOLLOHOSP.NS
Ashok Leyland Limited,ASHOKLEY,ASHOKLEY.NS
Asian Paints Limited,ASIANPAINT,ASIANPAINT.NS
Astral Limited,ASTRAL,ASTRAL.NS
Aurobindo Pharma Limited,AUROPHARMA,AUROPHARMA.NS
Avenue Supermarts Limited,DMART,DMART.NS
Axis Bank Limited,AXISBANK,AXISBANK.NS
BSE Limited,BSE,BSE.NS
Bajaj Auto Limited,BAJAJ-AUTO,BAJAJ-AUTO.NS
Bajaj Finance Limited,BAJFINANCE,BAJFINANCE.NS
Bajaj Finserv Limited,BAJAJFINSV,BAJAJFINSV.NS
Bajaj Holdings & Investment Limited,BAJAJHLDNG,BAJAJHLDNG.NS
Bandhan Bank Limited,BANDHANBNK,BANDHANBNK.NS
Bank of Baroda,BANKBARODA,BANKBARODA.NS
Bank of India,BANKINDIA,BANKINDIA.NS
Bharat Dynamics Limited,BDL,BDL.NS
Bharat Electronics Limited,BEL,BEL.NS
Bharat Forge Limited,BHARATFORG,BHARATFORG.NS
